numero	saison	player_id	player	round	lat	lng	country_code	guess_lat	guess_lng	distance
15	1	5e8fdfa9d51dd65c18f98403	Tbowfr	3	43.48829679510315	-6.190388440710842	es	46.01138929370584	2.9325796981588192	772.567687
15	1	5e8fdfa9d51dd65c18f98403	Tbowfr	4	-38.69726848237865	-62.43074340586847	ar	43.99964510580887	-105.9880013773415	10182.439977
15	1	5e8fdfa9d51dd65c18f98403	Tbowfr	5	33.87273623730306	35.53716676467376	lb	36.82195749642103	10.133525660470468	2320.295233
16	1	61f34541904c1e0001f465da	Comte	1	5.390864280906404	6.05757891796558	ng	6.587833377738899	7.4182392929915775	200.887867
16	1	61f34541904c1e0001f465da	Comte	2	54.58161650840007	31.44031703990383	ru	51.90879611957828	36.022123820437635	425.597807
16	1	61f34541904c1e0001f465da	Comte	3	4.567203231710189	101.2111505706473	my	4.586556999456538	101.12913759006283	9.341610
16	1	61f34541904c1e0001f465da	Comte	4	41.745282771131485	13.154740567055702	it	40.62974418493256	16.936159946912593	339.837215
16	1	61f34541904c1e0001f465da	Comte	5	37.19045811110218	128.56729292958613	kr	35.96010008213099	127.95186575270718	147.433838
16	1	677485108d7eb43c58f713b3	Master__Of__Kitten	1	5.390864280906404	6.05757891796558	ng	8.62299769481038	5.899510829689745	359.819863
16	1	677485108d7eb43c58f713b3	Master__Of__Kitten	2	54.58161650840007	31.44031703990383	ru	55.797521810256875	41.21256448919771	634.299476
16	1	677485108d7eb43c58f713b3	Master__Of__Kitten	3	4.567203231710189	101.2111505706473	my	5.416228423005454	100.92471000979229	99.596723
16	1	677485108d7eb43c58f713b3	Master__Of__Kitten	4	41.745282771131485	13.154740567055702	it	43.90765934966817	11.858830190441898	262.636900
16	1	677485108d7eb43c58f713b3	Master__Of__Kitten	5	37.19045811110218	128.56729292958613	kr	37.39273554242941	128.2030911413119	39.292598
16	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	1	5.390864280906404	6.05757891796558	ng	7.690275191792598	3.9077476257599564	348.954686
16	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	2	54.58161650840007	31.44031703990383	ru	50.94261468350961	25.174708190562644	583.944405
16	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	3	4.567203231710189	101.2111505706473	my	4.829420856774018	100.8988334343308	45.255855
16	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	4	41.745282771131485	13.154740567055702	it	39.66245652802853	16.24934590636053	348.792707
16	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	5	37.19045811110218	128.56729292958613	kr	35.815002830842786	127.44912025639816	182.699773
16	1	68f2e3307b1dd2467d0fc0f5	Etterima	1	5.390864280906404	6.05757891796558	ng	6.99761531283429	6.312932255772763	180.878661
16	1	68f2e3307b1dd2467d0fc0f5	Etterima	2	54.58161650840007	31.44031703990383	ru	57.37355282480749	66.96092789522731	2205.711645
16	1	68f2e3307b1dd2467d0fc0f5	Etterima	3	4.567203231710189	101.2111505706473	my	4.554300298990259	101.05291142664285	17.598258
16	1	68f2e3307b1dd2467d0fc0f5	Etterima	4	41.745282771131485	13.154740567055702	it	43.812124795302886	11.199893213656384	279.753385
16	1	68f2e3307b1dd2467d0fc0f5	Etterima	5	37.19045811110218	128.56729292958613	kr	36.735813892901554	127.9831840297864	72.449412
16	1	5e626d0512777c7a20431f1c	LordOozik	1	5.390864280906404	6.05757891796558	ng	8.147198638570057	7.6366079476657145	352.604991
16	1	5e626d0512777c7a20431f1c	LordOozik	2	54.58161650840007	31.44031703990383	ru	60.80400387347587	34.350396838443515	713.005869
16	1	5e626d0512777c7a20431f1c	LordOozik	3	4.567203231710189	101.2111505706473	my	4.877407249516236	101.62246251874582	57.160790
16	1	5e626d0512777c7a20431f1c	LordOozik	4	41.745282771131485	13.154740567055702	it	45.23524838695681	9.028797452303623	511.107739
16	1	5e626d0512777c7a20431f1c	LordOozik	5	37.19045811110218	128.56729292958613	kr	35.639556809651104	137.36191927864675	805.313474
16	1	66c34181c361d9f3b9a03d9b	OG	1	5.390864280906404	6.05757891796558	ng	7.52827963969984	7.584085379909107	291.428191
16	1	66c34181c361d9f3b9a03d9b	OG	2	54.58161650840007	31.44031703990383	ru	56.13070088550972	44.9414602593875	869.137883
16	1	66c34181c361d9f3b9a03d9b	OG	3	4.567203231710189	101.2111505706473	my	-8.488035438293396	116.99090582423098	2273.561099
16	1	66c34181c361d9f3b9a03d9b	OG	4	41.745282771131485	13.154740567055702	it	41.202084411036296	14.647242247050452	138.236982
16	1	66c34181c361d9f3b9a03d9b	OG	5	37.19045811110218	128.56729292958613	kr	36.349277898554526	128.43627736080927	94.260119
17	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	1	48.70413019129316	-3.375875646970923	fr	48.31546998698278	-3.1607973813293633	46.029742
17	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	2	48.805312951484204	1.7710926380961485	fr	49.48049838879616	1.6634432338433713	75.484426
17	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	3	-15.689255077894094	-72.60740641342713	pe	-6.003090976560499	-78.83156986458302	1273.121416
17	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	4	46.49336555593477	-122.93660062434154	us	45.706338914060865	-122.61422862132366	90.974505
17	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	5	64.0698626	-141.9400656	us	48.25472869035005	-117.71960074344366	2282.308767
17	1	5e626d0512777c7a20431f1c	LordOozik	1	48.70413019129316	-3.375875646970923	fr	48.29200134264871	-2.821831982021592	61.372598
